Entity,Code,Year,Total Population,Continent,GDP per capita (current US$),Food expenditure per person (US$)
Algeria,DZA,2016,40551000,Africa,3916.881571,639
Colombia,COL,2016,48175000,South America,5756.861602,646
Bolivia,BOL,2016,11032000,South America,3117.330459,656
China,CHN,2016,1414049024,Asia,8117.267465,706
Morocco,MAR,2016,35126000,Africa,2892.775561,709
Georgia,GEO,2016,4015000,Europe,3865.785694,817
Brazil,BRA,2016,206163008,South America,8639.365743,833
Ecuador,ECU,2016,16491000,South America,6018.526868,843
Bulgaria,BGR,2016,7152000,Europe,7469.447703,876
Thailand,THA,2016,68971000,Asia,5979.293546,884
Azerbaijan,AZE,2016,9736000,Europe,3880.738731,896
Egypt,EGY,2016,94447000,Africa,3479.281246,921
Philippines,PHL,2016,103664000,Asia,2950.913903,925
Serbia,SRB,2016,8854000,Europe,5426.198279,934
Belarus,BLR,2016,9446000,Europe,5022.626643,962
Nigeria,NGA,2016,185960000,Africa,2175.673442,1028
Peru,PER,2016,30926000,South America,6031.366091,1068
Jordan,JOR,2016,9554000,Asia,4087.937517,1080
North Macedonia,MKD,2016,2081000,Europe,5163.250253,1108
Malaysia,MYS,2016,30685000,Asia,9508.23775,1118
Montenegro,MNE,2016,627000,Europe,7028.940132,1173
Poland,POL,2016,37989000,Europe,12415.04329,1181
Hungary,HUN,2016,9753000,Europe,12820.0882,1196
Bosnia and Herzegovina,BIH,2016,3386000,Europe,4808.636043,1221
Singapore,SGP,2016,5654000,Asia,55243.13288,1297
Russia,RUS,2016,145275008,Europe,8759.036118,1305
Mexico,MEX,2016,123333000,North America,8443.691924,1331
Bahrain,BHR,2016,1426000,Asia,22560.58127,1347
Dominican Republic,DOM,2016,10398000,North America,6793.538125,1389
Chile,CHL,2016,18209000,South America,13960.89421,1402
Guatemala,GTM,2016,16583000,North America,4140.737635,1450
Turkey,TUR,2016,79828000,Europe,10862.72538,1471
Czechia,CZE,2016,10619000,Europe,18483.71648,1510
Qatar,QAT,2016,2654000,Asia,59324.33877,1570
Slovakia,SVK,2016,5442000,Europe,16529.54097,1581
Kuwait,KWT,2016,3957000,Asia,27368.28668,1604
Latvia,LVA,2016,1974000,Europe,14070.42265,1617
Turkmenistan,TKM,2016,5662000,Asia,6389.334143,1637
Saudi Arabia,SAU,2016,32443000,Asia,19982.08563,1664
South Korea,KOR,2016,50983000,Asia,27608.24743,1683
Romania,ROU,2016,19796000,Europe,9532.167174,1712
Kazakhstan,KAZ,2016,17831000,Asia,7714.841844,1744
Slovenia,SVN,2016,2074000,Europe,21650.21276,1821
Estonia,EST,2016,1317000,Europe,17736.8027,1952
Ireland,IRL,2016,4696000,Europe,64100.42995,1973
Uruguay,URY,2016,3424000,South America,15298.35089,1990
United Kingdom,GBR,2016,66298000,Europe,40412.03362,1991
Costa Rica,CRI,2016,4899000,North America,11732.71055,2098
Spain,ESP,2016,46634000,Europe,26616.7578,2138
Croatia,HRV,2016,4209000,Europe,12298.57035,2164
Canada,CAN,2016,36383000,North America,42348.94546,2168
Lithuania,LTU,2016,2890000,Europe,14912.68654,2215
Greece,GRC,2016,10615000,Europe,17881.5267,2245
Germany,DEU,2016,82194000,Europe,42232.57421,2246
Austria,AUT,2016,8747000,Europe,44731.01086,2273
Argentina,ARG,2016,43508000,South America,12654.355,2306
Portugal,PRT,2016,10326000,Europe,19871.71897,2311
Netherlands,NLD,2016,16981000,Europe,45637.88675,2341
United States,USA,2016,323016000,North America,57588.53807,2408
Italy,ITA,2016,60663000,Europe,30668.98143,2664
Belgium,BEL,2016,11354000,Europe,41260.97755,2706
France,FRA,2016,64668000,Europe,36870.21913,2727
Finland,FIN,2016,5498000,Europe,43433.03222,2757
Sweden,SWE,2016,9836000,Europe,51844.76126,2820
Denmark,DNK,2016,5711000,Europe,53578.75657,2821
Australia,AUS,2016,24263000,Oceania,49896.6811,2927
United Arab Emirates,ARE,2016,9361000,Asia,38517.80039,2950
Japan,JPN,2016,127763000,Asia,38972.34064,3020
New Zealand,NZL,2016,4659000,Oceania,40331.9591,3149
Israel,ISR,2016,8109000,Asia,37180.84981,3320
Norway,NOR,2016,5251000,Europe,70890.03557,3524
Switzerland,CHE,2016,8380000,Europe,79866.03187,3631
Hong Kong,HKG,2016,7244000,Asia,43737.04197,4423
